chr_physbin	Chr.x	Species.x	physbin	rate	physbinnum.x	gene_num	Chr.y	physbinnum.y	Species.y
I (0,0.01]	I	C. briggsae	(0,0.01]	0	1	29	I	1	C. briggsae
I (0.01,0.02]	I	C. briggsae	(0.01,0.02]	0	2	33	I	2	C. briggsae
I (0.02,0.03]	I	C. briggsae	(0.02,0.03]	0.467641115649291	3	21	I	3	C. briggsae
I (0.03,0.04]	I	C. briggsae	(0.03,0.04]	0.157415511964384	4	23	I	4	C. briggsae
I (0.04,0.05]	I	C. briggsae	(0.04,0.05]	2.37962916234154e-07	5	20	I	5	C. briggsae
I (0.05,0.06]	I	C. briggsae	(0.05,0.06]	1.1485038254936	6	41	I	6	C. briggsae
I (0.06,0.07]	I	C. briggsae	(0.06,0.07]	1.69064700334886	7	8	I	7	C. briggsae
I (0.07,0.08]	I	C. briggsae	(0.07,0.08]	0.881285612552775	8	31	I	8	C. briggsae
I (0.08,0.09]	I	C. briggsae	(0.08,0.09]	1.19120984226912	9	13	I	9	C. briggsae
I (0.09,0.1]	I	C. briggsae	(0.09,0.1]	1.61097429763357	10	27	I	10	C. briggsae
I (0.1,0.11]	I	C. briggsae	(0.1,0.11]	2.44121382504691	11	19	I	11	C. briggsae
I (0.11,0.12]	I	C. briggsae	(0.11,0.12]	5.12249147833025	12	37	I	12	C. briggsae
I (0.12,0.13]	I	C. briggsae	(0.12,0.13]	3.99898697088202	13	32	I	13	C. briggsae
I (0.13,0.14]	I	C. briggsae	(0.13,0.14]	3.1631667869916	14	14	I	14	C. briggsae
I (0.14,0.15]	I	C. briggsae	(0.14,0.15]	3.96167859278386	15	25	I	15	C. briggsae
I (0.15,0.16]	I	C. briggsae	(0.15,0.16]	1.42565059073319	16	22	I	16	C. briggsae
I (0.16,0.17]	I	C. briggsae	(0.16,0.17]	7.19636489141907	17	53	I	17	C. briggsae
I (0.17,0.18]	I	C. briggsae	(0.17,0.18]	4.55111203246562	18	17	I	18	C. briggsae
I (0.18,0.19]	I	C. briggsae	(0.18,0.19]	0.84449034108429	19	47	I	19	C. briggsae
I (0.19,0.2]	I	C. briggsae	(0.19,0.2]	1.49471563185462	20	27	I	20	C. briggsae
I (0.2,0.21]	I	C. briggsae	(0.2,0.21]	1.90160825974212	21	42	I	21	C. briggsae
I (0.21,0.22]	I	C. briggsae	(0.21,0.22]	0.960278492706889	22	22	I	22	C. briggsae
I (0.22,0.23]	I	C. briggsae	(0.22,0.23]	-4.05371266312691e-15	23	54	I	23	C. briggsae
I (0.23,0.24]	I	C. briggsae	(0.23,0.24]	2.17491778005377e-14	24	22	I	24	C. briggsae
I (0.24,0.25]	I	C. briggsae	(0.24,0.25]	2.17491778005378e-14	25	49	I	25	C. briggsae
I (0.25,0.26]	I	C. briggsae	(0.25,0.26]	2.17491778005376e-14	26	56	I	26	C. briggsae
