.y.	group1	group2	effsize	n1	n2	conf.low	conf.high	magnitude
value	C. briggsae I Arms	C. briggsae I Center	1.33448130384189	49	51	0.96	1.83	large
value	C. briggsae II Arms	C. briggsae II Center	1.68631990015992	49	51	1.3	2.21	large
value	C. briggsae III Arms	C. briggsae III Center	2.61884001054307	49	51	2.17	3.27	large
value	C. briggsae IV Arms	C. briggsae IV Center	1.61885126322416	49	51	1.21	2.15	large
value	C. briggsae V Arms	C. briggsae V Center	1.8410308648361	49	51	1.42	2.43	large
value	C. briggsae X Arms	C. briggsae X Center	0.787749903618367	49	51	0.39	1.35	moderate
value	C. elegans I Arms	C. elegans I Center	2.15861113919784	49	51	1.73	2.85	large
value	C. elegans II Arms	C. elegans II Center	1.65243359067875	49	51	1.41	2.05	large
value	C. elegans III Arms	C. elegans III Center	1.88438101050768	49	51	1.51	2.52	large
value	C. elegans IV Arms	C. elegans IV Center	2.57260697392171	49	51	2.05	3.37	large
value	C. elegans V Arms	C. elegans V Center	2.07346928925605	49	51	1.54	2.94	large
value	C. elegans X Arms	C. elegans X Center	0.744043581681282	49	51	0.37	1.1	moderate
value	C. remanei I Arms	C. remanei I Center	1.39898970282234	20	50	0.94	2	large
value	C. remanei II Arms	C. remanei II Center	0.869219401593884	25	49	0.38	1.49	large
value	C. remanei III Arms	C. remanei III Center	1.26069705647423	25	47	0.77	1.86	large
value	C. remanei IV Arms	C. remanei IV Center	-0.0595044944339931	14	41	-0.68	0.47	negligible
value	C. remanei V Arms	C. remanei V Center	1.24500252122738	42	50	0.78	1.8	large
value	C. remanei X Arms	C. remanei X Center	1.35291115032221	45	51	0.95	1.85	large
value	C. inopinata I Arms	C. inopinata I Center	-0.0107292482501503	49	51	-0.42	0.41	negligible
value	C. inopinata II Arms	C. inopinata II Center	0.67859207785115	49	51	0.27	1.09	moderate
value	C. inopinata III Arms	C. inopinata III Center	0.694118059529728	49	51	0.29	1.14	moderate
value	C. inopinata IV Arms	C. inopinata IV Center	0.622396866415695	49	51	0.21	1	moderate
value	C. inopinata V Arms	C. inopinata V Center	1.2340975348474	49	51	0.87	1.7	large
value	C. inopinata X Arms	C. inopinata X Center	0.435383041001033	47	51	0.05	0.86	small
value	C. tropicalis I Arms	C. tropicalis I Center	0.57046157990371	49	51	0.22	0.94	moderate
value	C. tropicalis II Arms	C. tropicalis II Center	0.865337477015107	49	51	0.65	1.26	large
value	C. tropicalis III Arms	C. tropicalis III Center	1.04685384311872	49	51	0.85	1.55	large
value	C. tropicalis IV Arms	C. tropicalis IV Center	0.214112688058583	49	51	-0.17	0.67	small
value	C. tropicalis V Arms	C. tropicalis V Center	1.09406446546621	49	51	0.75	1.49	large
value	C. tropicalis X Arms	C. tropicalis X Center	0.80532732942456	49	51	0.41	1.24	large
