.y.	group1	group2	effsize	n1	n2	conf.low	conf.high	magnitude
value	C. briggsae I Arms	C. briggsae I Center	-0.827316016191996	49	51	-1.24	-0.41	large
value	C. briggsae II Arms	C. briggsae II Center	-0.341822609956054	49	51	-0.76	0.05	small
value	C. briggsae III Arms	C. briggsae III Center	-0.61709256573508	49	51	-1.12	-0.22	moderate
value	C. briggsae IV Arms	C. briggsae IV Center	-0.6906767695851	49	51	-1.17	-0.31	moderate
value	C. briggsae V Arms	C. briggsae V Center	0.249614771724624	49	51	-0.16	0.64	small
value	C. briggsae X Arms	C. briggsae X Center	0.0192427824038386	49	51	-0.39	0.41	negligible
value	C. elegans I Arms	C. elegans I Center	-0.598979770954726	49	51	-1.03	-0.21	moderate
value	C. elegans II Arms	C. elegans II Center	-0.211414160508636	49	51	-0.61	0.16	small
value	C. elegans III Arms	C. elegans III Center	-0.761632231305085	49	51	-1.2	-0.39	moderate
value	C. elegans IV Arms	C. elegans IV Center	-1.03579434711908	49	51	-1.52	-0.64	large
value	C. elegans V Arms	C. elegans V Center	-0.383916059780564	49	51	-0.82	0.03	small
value	C. elegans X Arms	C. elegans X Center	-0.326635827591893	49	51	-0.77	0.12	small
value	C. remanei I Arms	C. remanei I Center	-1.12043839308424	49	51	-1.65	-0.7	large
value	C. remanei II Arms	C. remanei II Center	-0.673462343062627	49	51	-1.14	-0.27	moderate
value	C. remanei III Arms	C. remanei III Center	-0.657968062180679	49	51	-1.09	-0.27	moderate
value	C. remanei IV Arms	C. remanei IV Center	-0.801338770825481	49	51	-1.25	-0.38	large
value	C. remanei V Arms	C. remanei V Center	-0.741271755186138	49	51	-1.19	-0.35	moderate
value	C. remanei X Arms	C. remanei X Center	-0.393772656815597	49	51	-0.75	-0.0092	small
value	C. inopinata I Arms	C. inopinata I Center	0.0442721311676538	49	51	-0.33	0.44	negligible
value	C. inopinata II Arms	C. inopinata II Center	-0.564090162727951	49	51	-0.97	-0.16	moderate
value	C. inopinata III Arms	C. inopinata III Center	-0.377050000056593	49	51	-0.79	0.02	small
value	C. inopinata IV Arms	C. inopinata IV Center	-0.534896740586424	49	51	-0.89	-0.17	moderate
value	C. inopinata V Arms	C. inopinata V Center	-0.337162788967789	49	51	-0.77	0.05	small
value	C. inopinata X Arms	C. inopinata X Center	-0.239686945267499	49	51	-0.64	0.18	small
value	C. tropicalis I Arms	C. tropicalis I Center	-0.280822642956397	49	51	-0.72	0.1	small
value	C. tropicalis II Arms	C. tropicalis II Center	0.0282510745906131	49	51	-0.37	0.41	negligible
value	C. tropicalis III Arms	C. tropicalis III Center	-0.561898963139699	49	51	-0.99	-0.14	moderate
value	C. tropicalis IV Arms	C. tropicalis IV Center	-0.614727593936781	49	51	-1.06	-0.22	moderate
value	C. tropicalis V Arms	C. tropicalis V Center	0.166811626910891	49	51	-0.2	0.58	negligible
value	C. tropicalis X Arms	C. tropicalis X Center	0.177278021412526	49	51	-0.21	0.56	negligible
