.y.	group1	group2	effsize	n1	n2	conf.low	conf.high	magnitude
value	C. briggsae I Arms	C. briggsae I Center	1.66545065920322	49	51	1.15	2.34	large
value	C. briggsae II Arms	C. briggsae II Center	1.50060905377876	49	51	1.02	2.09	large
value	C. briggsae III Arms	C. briggsae III Center	1.83511503094261	49	51	1.26	2.66	large
value	C. briggsae IV Arms	C. briggsae IV Center	1.69400610699203	49	51	1.18	2.38	large
value	C. briggsae V Arms	C. briggsae V Center	1.28298635952069	49	51	0.83	1.91	large
value	C. briggsae X Arms	C. briggsae X Center	0.51999391067008	49	51	0.12	0.96	moderate
value	C. elegans I Arms	C. elegans I Center	2.12888088170755	49	51	1.64	2.81	large
value	C. elegans II Arms	C. elegans II Center	2.31819836823811	49	51	1.9	2.95	large
value	C. elegans III Arms	C. elegans III Center	2.75168583320519	49	51	2.13	3.62	large
value	C. elegans IV Arms	C. elegans IV Center	1.72040045064281	49	51	1.31	2.24	large
value	C. elegans V Arms	C. elegans V Center	2.66013381654925	49	51	2.17	3.33	large
value	C. elegans X Arms	C. elegans X Center	1.51841954994905	49	51	1.22	1.92	large
value	C. remanei I Arms	C. remanei I Center	1.74464775456719	49	51	1.29	2.4	large
value	C. remanei II Arms	C. remanei II Center	2.26363874217219	49	51	1.74	2.87	large
value	C. remanei III Arms	C. remanei III Center	1.48574045558772	49	51	1.04	2.1	large
value	C. remanei IV Arms	C. remanei IV Center	1.49629857307724	49	51	1.07	2.02	large
value	C. remanei V Arms	C. remanei V Center	1.60856067380051	49	51	1.11	2.28	large
value	C. remanei X Arms	C. remanei X Center	1.64869023200957	49	51	1.24	2.16	large
value	C. inopinata I Arms	C. inopinata I Center	-0.504650057701131	49	51	-0.87	-0.15	moderate
value	C. inopinata II Arms	C. inopinata II Center	0.0476669850407242	49	51	-0.34	0.52	negligible
value	C. inopinata III Arms	C. inopinata III Center	-0.14267281610264	49	51	-0.49	0.29	negligible
value	C. inopinata IV Arms	C. inopinata IV Center	0.179201991349574	49	51	-0.22	0.56	negligible
value	C. inopinata V Arms	C. inopinata V Center	1.01336602728809	49	51	0.61	1.47	large
value	C. inopinata X Arms	C. inopinata X Center	-0.134563468448061	49	51	-0.53	0.23	negligible
value	C. tropicalis I Arms	C. tropicalis I Center	1.12407155624974	49	51	0.66	1.67	large
value	C. tropicalis II Arms	C. tropicalis II Center	0.917454619211181	49	51	0.39	1.61	large
value	C. tropicalis III Arms	C. tropicalis III Center	1.15669550012559	49	51	0.57	2.12	large
value	C. tropicalis IV Arms	C. tropicalis IV Center	1.34761259216458	49	51	0.79	2.14	large
value	C. tropicalis V Arms	C. tropicalis V Center	0.496300767738747	49	51	0.1	0.93	small
value	C. tropicalis X Arms	C. tropicalis X Center	0.888482723144065	49	51	0.56	1.27	large
