.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
rate	C. briggsae I Arms	C. briggsae I Center	49	51	2183.5	1.22e-10	3.54e-09	****
rate	C. briggsae II Arms	C. briggsae II Center	49	51	2010	1.6e-07	4.32e-06	****
rate	C. briggsae III Arms	C. briggsae III Center	49	51	2007	1.79e-07	4.65e-06	****
rate	C. briggsae IV Arms	C. briggsae IV Center	49	51	2129	1.35e-09	3.78e-08	****
rate	C. briggsae V Arms	C. briggsae V Center	49	51	1966	7.93e-07	1.9e-05	****
rate	C. briggsae X Arms	C. briggsae X Center	49	51	1847	3.85e-05	0.000732	***
rate	C. elegans I Arms	C. elegans I Center	49	51	1863	2.37e-05	0.000498	***
rate	C. elegans II Arms	C. elegans II Center	49	51	1746	0.000626	0.009	**
rate	C. elegans III Arms	C. elegans III Center	49	51	1770	0.000336	0.005	**
rate	C. elegans IV Arms	C. elegans IV Center	49	51	1797	0.000162	0.003	**
rate	C. elegans V Arms	C. elegans V Center	49	51	1778	0.000272	0.005	**
rate	C. elegans X Arms	C. elegans X Center	49	51	1434	0.205	0.82	ns
rate	C. remanei I Arms	C. remanei I Center	20	50	736	0.002	0.027	*
rate	C. remanei II Arms	C. remanei II Center	25	49	865	0.004	0.035	*
rate	C. remanei III Arms	C. remanei III Center	25	47	942.5	2.75e-05	0.00055	***
rate	C. remanei IV Arms	C. remanei IV Center	14	41	446	0.002	0.023	*
rate	C. remanei V Arms	C. remanei V Center	42	50	1714	1.98e-07	4.95e-06	****
rate	C. remanei X Arms	C. remanei X Center	45	51	1184.5	0.789	1	ns
rate	C. inopinata I Arms	C. inopinata I Center	49	51	1482	0.11	0.77	ns
rate	C. inopinata II Arms	C. inopinata II Center	49	51	1928	2.94e-06	6.76e-05	****
rate	C. inopinata III Arms	C. inopinata III Center	49	51	1882	1.31e-05	0.000288	***
rate	C. inopinata IV Arms	C. inopinata IV Center	49	51	1531	0.053	0.474	ns
rate	C. inopinata V Arms	C. inopinata V Center	49	51	1335	0.558	1	ns
rate	C. inopinata X Arms	C. inopinata X Center	47	51	1616	0.003	0.033	*
rate	C. tropicalis I Arms	C. tropicalis I Center	49	51	1475	0.121	0.77	ns
rate	C. tropicalis II Arms	C. tropicalis II Center	49	51	1461	0.145	0.77	ns
rate	C. tropicalis III Arms	C. tropicalis III Center	49	51	1006	0.094	0.75	ns
rate	C. tropicalis IV Arms	C. tropicalis IV Center	49	51	2297.5	4.98e-13	1.49e-11	****
rate	C. tropicalis V Arms	C. tropicalis V Center	49	51	1295	0.756	1	ns
rate	C. tropicalis X Arms	C. tropicalis X Center	49	51	802.5	0.002	0.027	*
