.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
value	C. briggsae I Arms	C. briggsae I Center	49	51	2104	3.9e-09	7.48e-08	****
value	C. briggsae II Arms	C. briggsae II Center	49	51	2212	3.29e-11	7.24e-10	****
value	C. briggsae III Arms	C. briggsae III Center	49	51	2440	2.3e-16	6.67e-15	****
value	C. briggsae IV Arms	C. briggsae IV Center	49	51	2177	1.64e-10	3.44e-09	****
value	C. briggsae V Arms	C. briggsae V Center	49	51	2247	6.22e-12	1.43e-10	****
value	C. briggsae X Arms	C. briggsae X Center	49	51	1824	7.56e-05	0.00068	***
value	C. elegans I Arms	C. elegans I Center	49	51	2414	1.01e-15	2.83e-14	****
value	C. elegans II Arms	C. elegans II Center	49	51	2414	1.01e-15	2.83e-14	****
value	C. elegans III Arms	C. elegans III Center	49	51	2478	2.51e-17	7.53e-16	****
value	C. elegans IV Arms	C. elegans IV Center	49	51	2400	2.2e-15	5.72e-14	****
value	C. elegans V Arms	C. elegans V Center	49	51	2303	3.85e-13	9.62e-12	****
value	C. elegans X Arms	C. elegans X Center	49	51	1669	0.004	0.019	*
value	C. remanei I Arms	C. remanei I Center	20	50	840	1.02e-05	0.000112	***
value	C. remanei II Arms	C. remanei II Center	25	49	900	0.000818	0.006	**
value	C. remanei III Arms	C. remanei III Center	25	47	934	2.12e-05	0.000212	***
value	C. remanei IV Arms	C. remanei IV Center	14	41	285	0.977	1	ns
value	C. remanei V Arms	C. remanei V Center	42	50	1739	6.78e-08	1.02e-06	****
value	C. remanei X Arms	C. remanei X Center	45	51	1942	5.56e-09	1e-07	****
value	C. inopinata I Arms	C. inopinata I Center	49	51	1242	0.962	1	ns
value	C. inopinata II Arms	C. inopinata II Center	49	51	1710	0.002	0.009	**
value	C. inopinata III Arms	C. inopinata III Center	49	51	1810	0.000113	0.000904	***
value	C. inopinata IV Arms	C. inopinata IV Center	49	51	1598	0.016	0.066	ns
value	C. inopinata V Arms	C. inopinata V Center	49	51	2028	8.12e-08	1.14e-06	****
value	C. inopinata X Arms	C. inopinata X Center	47	51	1516.5	0.024	0.072	ns
value	C. tropicalis I Arms	C. tropicalis I Center	49	51	2013	1.43e-07	1.86e-06	****
value	C. tropicalis II Arms	C. tropicalis II Center	49	51	2105	3.74e-09	7.48e-08	****
value	C. tropicalis III Arms	C. tropicalis III Center	49	51	2259.5	3.39e-12	8.14e-11	****
value	C. tropicalis IV Arms	C. tropicalis IV Center	49	51	1940	1.96e-06	2.35e-05	****
value	C. tropicalis V Arms	C. tropicalis V Center	49	51	2062	2.16e-08	3.67e-07	****
value	C. tropicalis X Arms	C. tropicalis X Center	49	51	2055	2.85e-08	4.56e-07	****
