.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
value	C. briggsae I Arms	C. briggsae I Center	49	51	687.5	0.000107	0.003	**
value	C. briggsae II Arms	C. briggsae II Center	49	51	1019.5	0.113	1	ns
value	C. briggsae III Arms	C. briggsae III Center	49	51	797	0.002	0.036	*
value	C. briggsae IV Arms	C. briggsae IV Center	49	51	785.5	0.001	0.029	*
value	C. briggsae V Arms	C. briggsae V Center	49	51	1381	0.366	1	ns
value	C. briggsae X Arms	C. briggsae X Center	49	51	1279.5	0.839	1	ns
value	C. elegans I Arms	C. elegans I Center	49	51	810	0.002	0.047	*
value	C. elegans II Arms	C. elegans II Center	49	51	1055.5	0.182	1	ns
value	C. elegans III Arms	C. elegans III Center	49	51	710	0.000199	0.005	**
value	C. elegans IV Arms	C. elegans IV Center	49	51	571.5	2.96e-06	8.73e-05	****
value	C. elegans V Arms	C. elegans V Center	49	51	950.5	0.039	0.591	ns
value	C. elegans X Arms	C. elegans X Center	49	51	995	0.08	0.955	ns
value	C. remanei I Arms	C. remanei I Center	49	51	571	2.91e-06	8.73e-05	****
value	C. remanei II Arms	C. remanei II Center	49	51	777	0.001	0.025	*
value	C. remanei III Arms	C. remanei III Center	49	51	827.5	0.004	0.066	ns
value	C. remanei IV Arms	C. remanei IV Center	49	51	703.5	0.000168	0.004	**
value	C. remanei V Arms	C. remanei V Center	49	51	683	9.44e-05	0.003	**
value	C. remanei X Arms	C. remanei X Center	49	51	1020.5	0.115	1	ns
value	C. inopinata I Arms	C. inopinata I Center	49	51	1326.5	0.598	1	ns
value	C. inopinata II Arms	C. inopinata II Center	49	51	865.5	0.008	0.13	ns
value	C. inopinata III Arms	C. inopinata III Center	49	51	955.5	0.043	0.596	ns
value	C. inopinata IV Arms	C. inopinata IV Center	49	51	829	0.004	0.066	ns
value	C. inopinata V Arms	C. inopinata V Center	49	51	1017	0.109	1	ns
value	C. inopinata X Arms	C. inopinata X Center	49	51	1096.5	0.293	1	ns
value	C. tropicalis I Arms	C. tropicalis I Center	49	51	968.5	0.053	0.689	ns
value	C. tropicalis II Arms	C. tropicalis II Center	49	51	1193	0.699	1	ns
value	C. tropicalis III Arms	C. tropicalis III Center	49	51	748	0.000545	0.013	*
value	C. tropicalis IV Arms	C. tropicalis IV Center	49	51	764	0.000819	0.019	*
value	C. tropicalis V Arms	C. tropicalis V Center	49	51	1360.5	0.446	1	ns
value	C. tropicalis X Arms	C. tropicalis X Center	49	51	1421.5	0.237	1	ns
