.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
value	C. briggsae I Arms	C. briggsae I Center	49	51	2195	7.22e-11	1.3e-09	****
value	C. briggsae II Arms	C. briggsae II Center	49	51	2135	1.05e-09	1.68e-08	****
value	C. briggsae III Arms	C. briggsae III Center	49	51	2214	2.99e-11	5.68e-10	****
value	C. briggsae IV Arms	C. briggsae IV Center	49	51	2233	1.22e-11	2.68e-10	****
value	C. briggsae V Arms	C. briggsae V Center	49	51	2050	3.46e-08	4.15e-07	****
value	C. briggsae X Arms	C. briggsae X Center	49	51	1604	0.015	0.103	ns
value	C. elegans I Arms	C. elegans I Center	49	51	2351	3.16e-14	8.53e-13	****
value	C. elegans II Arms	C. elegans II Center	49	51	2398	2.46e-15	6.89e-14	****
value	C. elegans III Arms	C. elegans III Center	49	51	2446	1.63e-16	4.89e-15	****
value	C. elegans IV Arms	C. elegans IV Center	49	51	2235	1.11e-11	2.66e-10	****
value	C. elegans V Arms	C. elegans V Center	49	51	2421	6.79e-16	1.97e-14	****
value	C. elegans X Arms	C. elegans X Center	49	51	2234	1.16e-11	2.67e-10	****
value	C. remanei I Arms	C. remanei I Center	49	51	2229	1.47e-11	2.94e-10	****
value	C. remanei II Arms	C. remanei II Center	49	51	2343	4.83e-14	1.26e-12	****
value	C. remanei III Arms	C. remanei III Center	49	51	2103	4.06e-09	5.68e-08	****
value	C. remanei IV Arms	C. remanei IV Center	49	51	2090	6.96e-09	9.05e-08	****
value	C. remanei V Arms	C. remanei V Center	49	51	2231	1.34e-11	2.81e-10	****
value	C. remanei X Arms	C. remanei X Center	49	51	2265	2.58e-12	6.45e-11	****
value	C. inopinata I Arms	C. inopinata I Center	49	51	960	0.046	0.232	ns
value	C. inopinata II Arms	C. inopinata II Center	49	51	1422	0.236	0.788	ns
value	C. inopinata III Arms	C. inopinata III Center	49	51	1273	0.874	1	ns
value	C. inopinata IV Arms	C. inopinata IV Center	49	51	1437	0.197	0.788	ns
value	C. inopinata V Arms	C. inopinata V Center	49	51	1906	6.09e-06	4.87e-05	****
value	C. inopinata X Arms	C. inopinata X Center	49	51	1171	0.591	1	ns
value	C. tropicalis I Arms	C. tropicalis I Center	49	51	2040	5.12e-08	5.41e-07	****
value	C. tropicalis II Arms	C. tropicalis II Center	49	51	1924	3.36e-06	3.02e-05	****
value	C. tropicalis III Arms	C. tropicalis III Center	49	51	2125	1.61e-09	2.42e-08	****
value	C. tropicalis IV Arms	C. tropicalis IV Center	49	51	2141	8.07e-10	1.37e-08	****
value	C. tropicalis V Arms	C. tropicalis V Center	49	51	1585	0.021	0.125	ns
value	C. tropicalis X Arms	C. tropicalis X Center	49	51	2041	4.92e-08	5.41e-07	****
