species	repeat_type	taxonomic_rank	slope	slope_se	intercept	intercept_se	fstat	numdf	dendf	adj.r.squared	r.squared	p	p.adj	sp_type	Order_Class
C. briggsae	Copia	superfamily	2.62580763753244	0.790296107278826	4.49112751116474	1.64710044327818	11.0394167533706	1	498	0.0197222777312638	0.0216867621446281	0.000957550072780758	0.00448061166131374	C. briggsae Copia	LTR (I)
C. briggsae	DIRS	superfamily	75.0986935569912	16.3236313444513	92.1140224439731	34.0209956441928	21.1656303856827	1	498	0.0388423832500272	0.0407685508186645	5.35068600524368E-06	3.58640575486604E-05	C. briggsae DIRS	DIRS (I)
C. briggsae	ERV	superfamily	-5.4381979329711	1.33580818143103	29.8794986283997	2.78403275367952	16.5737896580593	1	498	0.0302654157111427	0.0322087715914811	5.44174741424212E-05	0.000329159355788304	C. briggsae ERV	LTR (I)
C. briggsae	Gypsy	superfamily	266.725899717206	69.5203243380723	1603.08787160741	144.891207206317	14.7199657108174	1	498	0.0267591797245431	0.0287095621299048	0.000140749319786937	0.000805828418898296	C. briggsae Gypsy	LTR (I)
C. briggsae	hAT	superfamily	336.149449985206	41.3228863674221	1566.24998447811	86.123345194843	66.1734095458145	1	498	0.115520172420537	0.117292677085025	3.31534940936602E-15	1.37034442253796E-13	C. briggsae hAT	TIR (II)
C. briggsae	Helitron	superfamily	529.289290534615	87.4988195555365	5155.8108495819	182.361197466199	36.5916358586241	1	498	0.0665772404041811	0.0684478270967579	2.86355488321807E-09	3.73769268967411E-08	C. briggsae Helitron	Helitron (II)
C. briggsae	Mutator	superfamily	276.114746027522	51.6539326220372	1875.02554059592	107.654858141421	28.5740906700147	1	498	0.0523650729471503	0.0542641409372362	1.37574657385045E-07	1.26364870487005E-06	C. briggsae Mutator	TIR (II)
C. briggsae	PiggyBac	superfamily	262.799682193739	42.9348237025452	1664.10707230056	89.4828742052538	37.4653939409185	1	498	0.0681003746526746	0.0699679089720079	1.88702458035032E-09	2.75283585839341E-08	C. briggsae PiggyBac	TIR (II)
C. elegans	hAT	superfamily	191.873180481475	30.9703958265001	869.90240156028	50.9221389680839	38.3826571627991	1	498	0.069694007931828	0.0715583485972953	1.21914653575155E-09	2.0156556057759E-08	C. elegans hAT	TIR (II)
C. elegans	Helitron	superfamily	1189.59065980743	144.876210160193	2331.48400947204	238.208337674332	67.4218923594263	1	498	0.117473152803223	0.119241743679369	1.89680158136539E-15	9.40813584357232E-14	C. elegans Helitron	Helitron (II)
C. elegans	Kolobok	superfamily	3.49471431023083	0.997437679211737	-1.7639016112001	1.6400068115811	12.2758568796965	1	498	0.0220975708093414	0.0240572951163367	0.0005002182195756	0.00248108236909498	C. elegans Kolobok	TIR (II)
C. elegans	PIF-Harbinger	superfamily	149.987935157955	22.3607586384424	102.527759562778	36.7660027723716	44.9924440193907	1	498	0.0810185196938389	0.0828601659469574	5.38584378063462E-11	1.02745327507491E-09	C. elegans PIF-Harbinger	TIR (II)
C. elegans	PiggyBac	superfamily	386.906188601486	67.8049054258109	1363.83866856908	111.486170088163	32.5603544253823	1	498	0.0594849467400619	0.0613697464459937	1.98551673195486E-08	2.05170062302002E-07	C. elegans PiggyBac	TIR (II)
C. elegans	Tc1-Mariner	superfamily	487.29883579792	88.011451590591	3881.23009780608	144.710173992805	30.6557806351761	1	498	0.0560965787597081	0.0579881687822337	4.99289412223594E-08	4.76245285505582E-07	C. elegans Tc1-Mariner	TIR (II)
C. elegans	tRNA	superfamily	14.0421215275077	4.68622018995345	58.67696295229	7.70517616515776	8.97883670016019	1	498	0.0157380074326042	0.017710476355585	0.00286746692482328	0.012260893057865	C. elegans tRNA	SINE (I)
C. remanei	Crypton	superfamily	14.3073524513265	5.72271834780793	79.437592951688	13.3794792186788	6.25048630091442	1	498	0.0104124565936088	0.0123955979631607	0.0127364110709016	0.0464504403762294	C. remanei Crypton	Crypton (II)
C. remanei	Helitron	superfamily	164.979002010019	62.5762335829982	1873.62678536904	146.300650481535	6.95085941609351	1	498	0.0117850268102817	0.0137654175381169	0.00863946915475474	0.0329628976981412	C. remanei Helitron	Helitron (II)
C. remanei	Jockey	superfamily	379.784550277245	137.922030001685	6252.69965687263	322.456011645653	7.58241072703352	1	498	0.0130194614910909	0.0149973784019304	0.00610948243165995	0.0240500260801852	C. remanei Jockey	LINE (I)
C. remanei	Merlin	superfamily	199.282972470128	60.7561476788784	1751.81038182163	142.04536478506	10.7587031982382	1	498	0.0191813980515547	0.0211469663921328	0.00111058930885255	0.00510048423324877	C. remanei Merlin	TIR (II)
C. remanei	Tc1-Mariner	superfamily	436.965093591191	84.8071270507833	5018.62884170974	198.275561544357	26.5478153445027	1	498	0.0487044547649557	0.0506108586632224	3.7120218674249E-07	3.17441870041854E-06	C. remanei Tc1-Mariner	TIR (II)
