sp	chrom	w	n	norm	theta
tropicalis	I	0	1	0	1.40934805910351e-05
tropicalis	I	20000	2	0.00164203612479475	3.07544466188116e-05
tropicalis	I	40000	38	0.00328407224958949	0.000508797986005923
tropicalis	I	60000	40	0.00492610837438424	0.000535576827374656
tropicalis	I	80000	41	0.00656814449917898	0.000548966248059023
tropicalis	I	1e+05	34	0.00821018062397373	0.000455240303268458
tropicalis	I	120000	48	0.00985221674876847	0.000642692192849587
tropicalis	I	140000	43	0.0114942528735632	0.000575745089427755
tropicalis	I	160000	44	0.013136288998358	0.000589134510112122
tropicalis	I	180000	42	0.0147783251231527	0.000562355668743389
tropicalis	I	2e+05	33	0.0164203612479475	0.000441850882584091
tropicalis	I	220000	36	0.0180623973727422	0.00048201914463719
tropicalis	I	240000	33	0.0197044334975369	0.000441850882584091
tropicalis	I	260000	52	0.0213464696223317	0.000696249875587053
tropicalis	I	280000	34	0.0229885057471264	0.000455240303268458
tropicalis	I	3e+05	37	0.0246305418719212	0.000501244542755202
tropicalis	I	320000	48	0.0262725779967159	0.000642692192849587
tropicalis	I	340000	64	0.0279146141215107	0.00085692292379945
tropicalis	I	360000	62	0.0295566502463054	0.000830144082430717
tropicalis	I	380000	48	0.0311986863711002	0.000642692192849587
tropicalis	I	4e+05	43	0.0328407224958949	0.000575745089427755
tropicalis	I	420000	51	0.0344827586206897	0.000682860454902686
tropicalis	I	440000	59	0.0361247947454844	0.000789975820377618
tropicalis	I	460000	47	0.0377668308702792	0.000629302772165221
tropicalis	I	480000	43	0.0394088669950739	0.000575745089427755
tropicalis	I	5e+05	39	0.0410509031198686	0.00052218740669029
tropicalis	I	520000	94	0.0426929392446634	0.00125860554433044
tropicalis	I	540000	18	0.0443349753694581	0.000243848696475504
tropicalis	I	560000	33	0.0459770114942529	0.000458621289265263
tropicalis	I	580000	66	0.0476190476190476	0.000894111887076847
tropicalis	I	6e+05	53	0.0492610837438424	0.000709639296271419
tropicalis	I	620000	41	0.0509031198686371	0.000548966248059023
tropicalis	I	640000	128	0.0525451559934319	0.00173403517493692
tropicalis	I	660000	137	0.0541871921182266	0.0018343506337582
tropicalis	I	680000	66	0.0558292282430214	0.000894111887076847
tropicalis	I	7e+05	87	0.0574712643678161	0.00116487959953988
tropicalis	I	720000	141	0.0591133004926108	0.00188790831649566
tropicalis	I	740000	665	0.0607553366174056	0.00900885461978945
tropicalis	I	760000	722	0.0623973727422003	0.00978104215862854
tropicalis	I	780000	779	0.0640394088669951	0.0104303587131214
tropicalis	I	8e+05	900	0.0656814449917898	0.0121924348237752
tropicalis	I	820000	671	0.0673234811165846	0.00909013751861462
tropicalis	I	840000	627	0.0689655172413793	0.00849406292723005
tropicalis	I	860000	142	0.0706075533661741	0.00192369527219564
tropicalis	I	880000	52	0.0722495894909688	0.000696249875587053
tropicalis	I	9e+05	217	0.0738916256157636	0.00293973150751024
tropicalis	I	920000	90	0.0755336617405583	0.00121924348237752
tropicalis	I	940000	103	0.077175697865353	0.00137911033048974
tropicalis	I	960000	47	0.0788177339901478	0.000629302772165221
tropicalis	I	980000	86	0.0804597701149425	0.00115149017885551
tropicalis	I	1e+06	94	0.0821018062397373	0.0012734320815943
tropicalis	I	1020000	64	0.083743842364532	0.000867017587468458
tropicalis	I	1040000	136	0.0853858784893268	0.00184241237337047
tropicalis	I	1060000	60	0.0870279146141215	0.000803365241061984
tropicalis	I	1080000	82	0.0886699507389163	0.00111086628394396
tropicalis	I	1100000	115	0.090311986863711	0.00153978337870214
tropicalis	I	1120000	159	0.0919540229885057	0.00215399681886695
tropicalis	I	1140000	76	0.0935960591133005	0.00102958338511879
tropicalis	I	1160000	139	0.0952380952380952	0.00188305382278306
tropicalis	I	1180000	61	0.09688013136289	0.00081675466174635
tropicalis	I	1200000	169	0.0985221674876847	0.0022894683169089
tropicalis	I	1220000	242	0.100164203612479	0.00327841025261511
tropicalis	I	1240000	139	0.101806239737274	0.00188305382278306
tropicalis	I	1260000	76	0.103448275862069	0.00101759597201185
tropicalis	I	1280000	204	0.105090311986864	0.00273144181961075
tropicalis	I	1300000	854	0.106732348111658	0.0115692659327822
tropicalis	I	1320000	853	0.108374384236453	0.0114211758437645
tropicalis	I	1340000	135	0.110016420361248	0.00182886522356628
tropicalis	I	1360000	372	0.111658456486043	0.0049808644945843
tropicalis	I	1380000	1027	0.113300492610837	0.0139129228489079
tropicalis	I	1400000	632	0.114942528735632	0.00856179867625103
tropicalis	I	1420000	643	0.116584564860427	0.00871081732409716
tropicalis	I	1440000	324	0.118226600985222	0.00438927653655907
tropicalis	I	1460000	137	0.119868637110016	0.0018343506337582
tropicalis	I	1480000	160	0.121510673234811	0.00214230730949862
tropicalis	I	1500000	99	0.123152709359606	0.00132555264775227
tropicalis	I	1520000	97	0.124794745484401	0.00129877380638354
tropicalis	I	1540000	76	0.126436781609195	0.00101759597201185
tropicalis	I	1560000	27	0.12807881773399	0.000365773044713256
tropicalis	I	1580000	41	0.129720853858785	0.000555433141971981
tropicalis	I	1600000	71	0.13136288998358	0.000950648868590014
tropicalis	I	1620000	54	0.133004926108374	0.000731546089426512
tropicalis	I	1640000	52	0.134646962233169	0.000696249875587053
tropicalis	I	1660000	86	0.136288998357964	0.00115149017885551
tropicalis	I	1680000	115	0.137931034482759	0.00153978337870214
tropicalis	I	1700000	110	0.139573070607553	0.0014728362752803
tropicalis	I	1720000	137	0.141215106732348	0.0018343506337582
tropicalis	I	1740000	92	0.142857142857143	0.00123182670296171
tropicalis	I	1760000	99	0.144499178981938	0.00132555264775227
tropicalis	I	1780000	45	0.146141215106732	0.000602523930796488
tropicalis	I	1800000	81	0.147783251231527	0.00108454307543368
tropicalis	I	1820000	59	0.149425287356322	0.000789975820377618
tropicalis	I	1840000	75	0.151067323481117	0.0010160362353146
tropicalis	I	1860000	53	0.152709359605911	0.000709639296271419
tropicalis	I	1880000	86	0.154351395730706	0.00115149017885551
tropicalis	I	1900000	93	0.155993431855501	0.00124521612364608
tropicalis	I	1920000	68	0.157635467980296	0.000910480606536915
tropicalis	I	1940000	69	0.15927750410509	0.000923870027221282
tropicalis	I	1960000	74	0.160919540229885	0.0010024890855104
tropicalis	I	1980000	85	0.16256157635468	0.00113810075817114
