CHR	POS
Sp34_Chr3	54464
Sp34_Chr3	54802
Sp34_Chr3	54888
Sp34_Chr3	55106
Sp34_Chr3	55153
Sp34_Chr3	55155
Sp34_Chr3	55157
Sp34_Chr3	55159
Sp34_Chr3	55161
Sp34_Chr3	56722
Sp34_Chr3	56796
Sp34_Chr3	165446
Sp34_Chr3	165524
Sp34_Chr3	173886
Sp34_Chr3	173921
Sp34_Chr3	173925
Sp34_Chr3	174015
Sp34_Chr3	174029
Sp34_Chr3	174070
Sp34_Chr3	179312
Sp34_Chr3	179326
Sp34_Chr3	179330
Sp34_Chr3	179331
Sp34_Chr3	179357
Sp34_Chr3	179372
Sp34_Chr3	179395
Sp34_Chr3	179423
Sp34_Chr3	182221
Sp34_Chr3	182234
Sp34_Chr3	182249
Sp34_Chr3	182257
Sp34_Chr3	182270
Sp34_Chr3	182283
Sp34_Chr3	190202
Sp34_Chr3	190213
Sp34_Chr3	190223
Sp34_Chr3	190248
Sp34_Chr3	190259
Sp34_Chr3	190278
Sp34_Chr3	190291
Sp34_Chr3	190309
Sp34_Chr3	190539
Sp34_Chr3	190543
Sp34_Chr3	190555
Sp34_Chr3	190559
Sp34_Chr3	190587
Sp34_Chr3	190597
Sp34_Chr3	190603
Sp34_Chr3	204802
Sp34_Chr3	204807
Sp34_Chr3	204863
Sp34_Chr3	205238
Sp34_Chr3	205247
Sp34_Chr3	205251
Sp34_Chr3	205288
Sp34_Chr3	205293
Sp34_Chr3	238655
Sp34_Chr3	238677
Sp34_Chr3	240562
Sp34_Chr3	264491
Sp34_Chr3	264495
Sp34_Chr3	264543
Sp34_Chr3	264576
Sp34_Chr3	264615
Sp34_Chr3	264623
Sp34_Chr3	264682
Sp34_Chr3	270826
Sp34_Chr3	270874
Sp34_Chr3	270937
Sp34_Chr3	270975
Sp34_Chr3	271000
Sp34_Chr3	271010
Sp34_Chr3	271021
Sp34_Chr3	271023
Sp34_Chr3	271025
Sp34_Chr3	271070
Sp34_Chr3	271529
Sp34_Chr3	271585
Sp34_Chr3	271597
Sp34_Chr3	271598
Sp34_Chr3	271608
Sp34_Chr3	271610
Sp34_Chr3	271611
Sp34_Chr3	271629
Sp34_Chr3	271647
Sp34_Chr3	271672
Sp34_Chr3	271674
Sp34_Chr3	271675
Sp34_Chr3	293283
Sp34_Chr3	293284
Sp34_Chr3	293337
Sp34_Chr3	293410
Sp34_Chr3	293434
Sp34_Chr3	301947
Sp34_Chr3	302015
Sp34_Chr3	302042
Sp34_Chr3	303327
Sp34_Chr3	303401
Sp34_Chr3	303402
Sp34_Chr3	303403
Sp34_Chr3	303424
Sp34_Chr3	303490
Sp34_Chr3	303543
Sp34_Chr3	310856
Sp34_Chr3	310858
Sp34_Chr3	310891
Sp34_Chr3	337118
Sp34_Chr3	337120
Sp34_Chr3	337124
Sp34_Chr3	337144
Sp34_Chr3	337162
Sp34_Chr3	337163
Sp34_Chr3	337174
Sp34_Chr3	337186
Sp34_Chr3	337192
Sp34_Chr3	337198
Sp34_Chr3	337213
Sp34_Chr3	337248
Sp34_Chr3	337327
Sp34_Chr3	345665
Sp34_Chr3	348882
Sp34_Chr3	367164
Sp34_Chr3	367176
Sp34_Chr3	367214
Sp34_Chr3	367216
Sp34_Chr3	367240
Sp34_Chr3	367280
