chrom	classifiedWinEnd	Species	classifiedWinStart.x	beta	sample.x	classifiedWinStart.y	bigWinRange	pi	theta	TajimaD	distVar	distSkew	distKurt	nDiplos	H1	H12	H2.H1	ZnS	omega	sample.y	NORMPOS
I	10050000	C.elegans	10000000	0.365248	CE	9950001	10000001-10100000	5.14502442748323e-05	2.54404118827319e-05	2.8651285934028	1.58471474176773e-09	-0.0364338792183803	-1.19236619787895	8	0.183673469387755	0.290816326530612	0.659722222222222	0.079329774	1.57625006144569	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.655521667730612
I	10050000	C.remanei	10000000	1.0867	CR	9950001	10000001-10100000	0.0040951767623365	0.00461326949476665	-0.44429083550602	8.8241419110755e-06	0.716424192661334	-0.797662001484789	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.17049916	3.14380444145984	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.582691623648467
I	10150000	C.elegans	10100000	0.0157486	CE	10050001	10100001-10200000	2.94033535322469e-05	1.78299584789712e-05	1.68036313872645	6.60238979406856e-10	-0.0578388544342771	-1.73337713839423	5	0.326530612244898	0.558673469387755	0.33984375	0.03755219	1.50112175387347	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.662044271389623
I	10150000	C.remanei	10100000	1.07464	CR	10050001	10100001-10200000	0.00765256814778882	0.00755984818864868	0.0485461849015704	7.71676604393338e-06	-0.604126094905696	0.204765902936232	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.09870275	1.25501408377084	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.588489550251934
I	10250000	C.elegans	10200000	0	CE	10150001	10200001-10300000	3.62417146266082e-05	2.55098304433467e-05	1.08908331662971	1.08065819364649e-09	-0.045753468212933	-1.53159783768124	7	0.25	0.454081632653061	0.489795918367347	-0.10387598	1.09547281208388	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.668566875048634
I	10250000	C.remanei	10200000	1.07703	CR	10150001	10200001-10300000	0.00528376771748771	0.00567775280567233	-0.274565035948037	8.63605035575393e-06	0.160040932193339	-0.949215116677186	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.11925621	1.40040997046215	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.594287476855402
I	10350000	C.elegans	10300000	7.53353	CE	10250001	10300001-10400000	0.0020241007517726	0.00122444220161065	2.34847069408735	1.81122172661044e-06	-0.0821199186920406	-1.69016806860366	28	0.0357142857142857	0.038265306122449	0.964285714285714	0.034486987	1.48015046228022	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.675089478707645
I	10350000	C.remanei	10300000	1.06166	CR	10250001	10300001-10400000	0.00589990991076996	0.00697000360547075	-0.607699037287063	7.6458697396852e-06	-0.00804395481307697	-0.514535925775956	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.08561179	1.52112413884603	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.600085403458869
I	10450000	C.elegans	10400000	-0.00873043	CE	10350001	10400001-10500000	2.21121843605857e-05	1.94495811224617e-05	0.354396074994592	2.48049098385951e-10	0.0641917423599913	-1.08473085586556	7	0.224489795918367	0.408163265306123	0.539772727272727	-0.08499919	2.07525928997067	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.681612082366656
I	10450000	C.remanei	10400000	0.672105	CR	10350001	10400001-10500000	0.00995902310089531	0.0093877721704682	0.240900063647696	7.82224454893925e-06	-0.591958420741938	-0.424647643643071	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.055441123	1.36565081051694	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.605883330062336
