marker_number	male_position	female_position
1	0.000	0.000
2	0.000	0.000
3	0.000	0.000
4	0.000	0.000
5	0.000	0.000
6	0.000	0.000
7	0.000	0.000
8	0.000	0.000
9	0.000	0.000
10	0.000	0.000
17	0.000	0.000
18	0.000	0.000
19	0.000	0.000
20	0.000	0.000
21	0.000	0.000
22	0.000	0.000
23	0.000	0.000
24	0.000	0.000
25	0.000	0.000
26	0.000	0.000
28	0.000	0.000
29	0.000	0.000
30	0.000	0.000
49	0.000	0.000
50	0.000	0.000
51	0.000	0.000
52	0.000	0.000
53	0.000	0.000
54	0.000	0.000
55	0.000	0.000
58	0.000	0.000
68	0.000	0.000
69	0.000	0.000
71	0.000	0.000
72	0.000	0.000
73	0.000	0.000
76	0.000	0.000
77	0.000	0.000
78	0.000	0.000
83	0.000	0.000
84	0.000	0.000
85	0.000	0.000
86	0.000	0.000
87	0.000	0.000
88	0.000	0.000
89	0.000	0.000
90	0.000	0.000
91	0.000	0.000
92	0.000	0.000
93	0.000	0.000
94	0.000	0.000
102	0.000	0.000
103	0.000	0.000
104	0.000	0.000
105	0.000	0.000
106	0.000	0.000
107	0.000	0.000
110	0.000	0.000
111	0.000	0.000
112	0.000	0.000
113	0.000	0.000
114	0.000	0.000
115	0.000	0.000
116	0.000	0.000
117	0.000	0.000
118	0.000	0.000
120	0.000	0.000
121	0.000	0.000
122	0.000	0.000
123	0.000	0.000
125	0.000	0.000
126	0.000	0.000
128	0.000	0.000
130	0.000	0.000
131	0.000	0.000
132	0.000	0.000
133	0.000	0.000
149	0.000	0.000
150	0.000	0.000
151	0.000	0.000
152	0.000	0.000
153	0.000	0.000
154	0.000	0.000
155	0.000	0.000
156	0.000	0.000
157	0.000	0.000
158	0.000	0.000
159	0.000	0.000
160	0.000	0.000
161	0.000	0.000
162	0.000	0.000
163	0.000	0.000
164	0.000	0.000
165	0.000	0.000
166	0.000	0.000
167	0.000	0.000
177	0.000	0.000
178	0.000	0.000
179	0.000	0.000
193	0.000	0.000
194	0.000	0.000
196	0.000	0.000
197	0.000	0.000
198	0.000	0.000
207	0.000	0.000
208	0.000	0.000
209	0.000	0.000
210	0.000	0.000
211	0.000	0.000
212	0.000	0.000
213	0.000	0.000
214	0.000	0.000
216	0.000	0.000
217	0.000	0.000
218	0.000	0.000
219	0.000	0.000
220	0.000	0.000
