marker_number	male_position	female_position
1	0.000	0.000
2	0.000	0.000
3	0.000	0.000
7	0.000	0.000
8	0.000	0.000
9	0.000	0.000
10	0.000	0.000
11	0.000	0.000
12	0.000	0.000
13	0.000	0.000
14	0.000	0.000
15	0.000	1.136
16	0.000	1.136
17	0.000	2.273
18	0.000	2.273
19	0.000	2.273
20	0.000	2.273
21	0.000	2.273
22	0.000	2.273
23	0.000	2.841
24	0.000	2.841
25	0.000	2.841
26	0.000	2.841
27	0.000	3.977
28	0.000	3.977
29	0.000	3.977
30	0.000	3.977
31	0.000	3.977
34	0.000	3.977
38	0.000	3.977
39	0.000	3.977
40	0.000	3.977
41	0.000	3.977
42	0.000	3.977
68	0.000	3.977
69	0.000	3.977
70	0.000	3.977
71	0.000	3.977
72	0.000	3.977
73	0.000	3.977
74	0.000	3.977
76	0.000	3.977
77	0.000	3.977
78	0.000	3.977
79	0.000	3.977
84	0.000	3.977
86	0.000	3.977
88	0.000	3.977
89	0.000	3.977
90	0.000	3.977
103	0.000	3.977
105	0.000	3.977
107	0.000	3.977
111	0.000	3.977
112	0.000	3.977
113	0.000	3.977
114	0.000	3.977
115	0.000	3.977
117	0.000	3.977
119	0.000	3.977
120	0.000	3.977
121	0.000	3.977
122	0.000	3.977
123	0.000	3.977
124	0.000	3.977
125	0.000	3.977
126	0.000	3.977
127	0.000	3.977
128	0.000	3.977
129	0.000	3.977
130	0.000	3.977
131	0.000	3.977
132	0.000	3.977
133	0.000	3.977
134	0.000	3.977
135	0.000	3.977
136	0.000	3.977
137	0.000	3.977
138	0.000	3.977
139	0.000	3.977
140	0.000	3.977
141	0.000	3.977
142	0.000	3.977
143	0.000	3.977
145	0.000	3.977
146	0.000	3.977
148	0.000	3.977
149	0.000	3.977
150	0.000	3.977
151	0.000	3.977
153	0.000	3.977
154	0.000	3.977
155	0.000	3.977
156	0.000	3.977
158	0.000	3.977
159	0.000	3.977
160	0.000	3.977
161	0.000	3.977
163	0.000	3.977
164	0.000	3.977
165	0.000	3.977
166	0.000	3.977
167	0.000	3.977
174	0.000	3.977
179	0.000	3.977
187	0.000	3.977
188	0.000	3.977
191	0.000	3.977
192	0.000	3.977
193	0.000	3.977
194	0.000	3.977
195	0.000	3.977
196	0.000	3.977
197	0.000	3.977
199	0.000	3.977
200	0.000	3.977
201	0.000	3.977
