CHR	POS
Sp34_ChrX	36860
Sp34_ChrX	36864
Sp34_ChrX	36887
Sp34_ChrX	36909
Sp34_ChrX	36935
Sp34_ChrX	36952
Sp34_ChrX	36983
Sp34_ChrX	37009
Sp34_ChrX	43202
Sp34_ChrX	43218
Sp34_ChrX	43237
Sp34_ChrX	43256
Sp34_ChrX	43286
Sp34_ChrX	43293
Sp34_ChrX	43306
Sp34_ChrX	43360
Sp34_ChrX	43362
Sp34_ChrX	43391
Sp34_ChrX	59929
Sp34_ChrX	59943
Sp34_ChrX	59993
Sp34_ChrX	59998
Sp34_ChrX	68674
Sp34_ChrX	68745
Sp34_ChrX	68747
Sp34_ChrX	68842
Sp34_ChrX	90045
Sp34_ChrX	90056
Sp34_ChrX	90101
Sp34_ChrX	90102
Sp34_ChrX	90111
Sp34_ChrX	90236
Sp34_ChrX	161904
Sp34_ChrX	161922
Sp34_ChrX	161928
Sp34_ChrX	161933
Sp34_ChrX	161955
Sp34_ChrX	163956
Sp34_ChrX	164022
Sp34_ChrX	164092
Sp34_ChrX	164100
Sp34_ChrX	164152
Sp34_ChrX	170135
Sp34_ChrX	170136
Sp34_ChrX	170137
Sp34_ChrX	170138
Sp34_ChrX	170143
Sp34_ChrX	170144
Sp34_ChrX	170145
Sp34_ChrX	170146
Sp34_ChrX	170147
Sp34_ChrX	170148
Sp34_ChrX	170149
Sp34_ChrX	170150
Sp34_ChrX	170151
Sp34_ChrX	170154
Sp34_ChrX	170155
Sp34_ChrX	170156
Sp34_ChrX	170157
Sp34_ChrX	170158
Sp34_ChrX	170161
Sp34_ChrX	170162
Sp34_ChrX	170165
Sp34_ChrX	170167
Sp34_ChrX	170170
Sp34_ChrX	170175
Sp34_ChrX	170232
Sp34_ChrX	170250
Sp34_ChrX	170252
Sp34_ChrX	170253
Sp34_ChrX	170254
Sp34_ChrX	170284
Sp34_ChrX	170302
Sp34_ChrX	171307
Sp34_ChrX	171367
Sp34_ChrX	171400
Sp34_ChrX	171430
Sp34_ChrX	171463
Sp34_ChrX	171539
Sp34_ChrX	182935
Sp34_ChrX	182953
Sp34_ChrX	182956
Sp34_ChrX	182964
Sp34_ChrX	182977
Sp34_ChrX	182994
Sp34_ChrX	183030
Sp34_ChrX	183045
Sp34_ChrX	189299
Sp34_ChrX	189313
Sp34_ChrX	189327
Sp34_ChrX	189355
Sp34_ChrX	189367
Sp34_ChrX	189368
Sp34_ChrX	189385
Sp34_ChrX	189391
Sp34_ChrX	189394
Sp34_ChrX	189401
Sp34_ChrX	189405
Sp34_ChrX	189447
Sp34_ChrX	189492
Sp34_ChrX	189495
Sp34_ChrX	189499
Sp34_ChrX	216828
Sp34_ChrX	216837
Sp34_ChrX	216931
Sp34_ChrX	216947
Sp34_ChrX	216975
Sp34_ChrX	216976
Sp34_ChrX	223397
Sp34_ChrX	223423
Sp34_ChrX	223451
Sp34_ChrX	223475
Sp34_ChrX	223486
Sp34_ChrX	223517
Sp34_ChrX	223534
Sp34_ChrX	229974
Sp34_ChrX	229998
Sp34_ChrX	230018
Sp34_ChrX	230020
Sp34_ChrX	230031
Sp34_ChrX	242551
Sp34_ChrX	242589
Sp34_ChrX	249732
Sp34_ChrX	249736
Sp34_ChrX	249738
Sp34_ChrX	249778
Sp34_ChrX	249790
Sp34_ChrX	251988
Sp34_ChrX	252006
Sp34_ChrX	252007
Sp34_ChrX	252046
Sp34_ChrX	252109
Sp34_ChrX	252161
Sp34_ChrX	252165
Sp34_ChrX	252176
Sp34_ChrX	252178
Sp34_ChrX	252195
Sp34_ChrX	252196
Sp34_ChrX	253338
Sp34_ChrX	253370
Sp34_ChrX	253376
Sp34_ChrX	253381
Sp34_ChrX	253448
Sp34_ChrX	253458
Sp34_ChrX	253460
Sp34_ChrX	253494
Sp34_ChrX	253502
Sp34_ChrX	253539
Sp34_ChrX	253563
Sp34_ChrX	283275
Sp34_ChrX	283300
Sp34_ChrX	283320
Sp34_ChrX	283337
Sp34_ChrX	283368
Sp34_ChrX	283371
Sp34_ChrX	283392
Sp34_ChrX	283402
Sp34_ChrX	283440
Sp34_ChrX	283447
Sp34_ChrX	283451
Sp34_ChrX	285352
Sp34_ChrX	285408
Sp34_ChrX	285409
Sp34_ChrX	285418
Sp34_ChrX	285421
Sp34_ChrX	285428
Sp34_ChrX	285434
Sp34_ChrX	285438
Sp34_ChrX	285553
Sp34_ChrX	299607
Sp34_ChrX	299610
Sp34_ChrX	299615
Sp34_ChrX	299626
Sp34_ChrX	299630
Sp34_ChrX	299633
Sp34_ChrX	299647
Sp34_ChrX	299648
Sp34_ChrX	299657
Sp34_ChrX	299662
Sp34_ChrX	299671
Sp34_ChrX	299687
Sp34_ChrX	299688
Sp34_ChrX	299690
Sp34_ChrX	299697
Sp34_ChrX	299708
Sp34_ChrX	299713
Sp34_ChrX	299737
Sp34_ChrX	299755
Sp34_ChrX	299775
Sp34_ChrX	299777
Sp34_ChrX	302986
Sp34_ChrX	303000
Sp34_ChrX	303040
Sp34_ChrX	303047
Sp34_ChrX	303051
Sp34_ChrX	303053
Sp34_ChrX	303057
Sp34_ChrX	303060
Sp34_ChrX	303071
Sp34_ChrX	303078
Sp34_ChrX	303079
Sp34_ChrX	303103
Sp34_ChrX	303130
Sp34_ChrX	321335
Sp34_ChrX	321370
Sp34_ChrX	321396
Sp34_ChrX	321409
Sp34_ChrX	321415
Sp34_ChrX	321423
Sp34_ChrX	321432
Sp34_ChrX	321451
Sp34_ChrX	321453
Sp34_ChrX	321497
Sp34_ChrX	328581
Sp34_ChrX	328582
