Chr	BP	num_rep	species
III	1	1633	briggsae
III	10001	566	briggsae
III	20001	384	briggsae
III	30001	24	briggsae
III	40001	213	briggsae
III	50001	1751	briggsae
III	60001	1106	briggsae
III	70001	4277	briggsae
III	80001	5735	briggsae
III	90001	4733	briggsae
III	100001	3975	briggsae
III	110001	4459	briggsae
III	120001	1643	briggsae
III	130001	798	briggsae
III	140001	383	briggsae
III	150001	2216	briggsae
III	160001	339	briggsae
III	170001	1403	briggsae
III	180001	281	briggsae
III	190001	674	briggsae
III	200001	225	briggsae
III	210001	1849	briggsae
III	220001	1924	briggsae
III	230001	1996	briggsae
III	240001	1262	briggsae
III	250001	2891	briggsae
III	260001	3555	briggsae
III	270001	4550	briggsae
III	280001	2678	briggsae
III	290001	1160	briggsae
III	300001	1582	briggsae
III	310001	2259	briggsae
III	320001	1756	briggsae
III	330001	4459	briggsae
III	340001	1448	briggsae
III	350001	1965	briggsae
III	360001	1610	briggsae
III	370001	1776	briggsae
III	380001	1189	briggsae
III	390001	1630	briggsae
III	400001	3726	briggsae
III	410001	2749	briggsae
III	420001	5174	briggsae
III	430001	4426	briggsae
III	440001	5019	briggsae
III	450001	2189	briggsae
III	460001	2360	briggsae
III	470001	3337	briggsae
III	480001	2979	briggsae
III	490001	408	briggsae
III	500001	983	briggsae
III	510001	1960	briggsae
III	520001	1736	briggsae
III	530001	5538	briggsae
III	540001	4119	briggsae
III	550001	5186	briggsae
III	560001	2700	briggsae
III	570001	4328	briggsae
III	580001	2418	briggsae
III	590001	4294	briggsae
III	600001	945	briggsae
III	610001	3875	briggsae
III	620001	4497	briggsae
III	630001	1526	briggsae
III	640001	4326	briggsae
III	650001	4492	briggsae
III	660001	4668	briggsae
III	670001	3886	briggsae
III	680001	2871	briggsae
III	690001	2768	briggsae
III	700001	4510	briggsae
III	710001	3528	briggsae
III	720001	3367	briggsae
III	730001	3995	briggsae
III	740001	3649	briggsae
III	750001	2565	briggsae
III	760001	2945	briggsae
III	770001	3554	briggsae
III	780001	2254	briggsae
III	790001	2876	briggsae
III	800001	5338	briggsae
III	810001	4235	briggsae
III	820001	4106	briggsae
III	830001	3885	briggsae
III	840001	2295	briggsae
III	850001	4426	briggsae
III	860001	3465	briggsae
III	870001	1778	briggsae
III	880001	3694	briggsae
III	890001	3769	briggsae
III	900001	3149	briggsae
III	910001	2600	briggsae
III	920001	4061	briggsae
III	930001	4237	briggsae
III	940001	3075	briggsae
III	950001	2535	briggsae
III	960001	2598	briggsae
III	970001	2674	briggsae
III	980001	2161	briggsae
III	990001	3720	briggsae
III	1000001	3107	briggsae
III	1010001	4582	briggsae
III	1020001	3474	briggsae
III	1030001	1751	briggsae
III	1040001	995	briggsae
III	1050001	1247	briggsae
III	1060001	4081	briggsae
III	1070001	5137	briggsae
III	1080001	2609	briggsae
III	1090001	3821	briggsae
III	1100001	3768	briggsae
III	1110001	3487	briggsae
III	1120001	2000	briggsae
III	1130001	532	briggsae
III	1140001	1997	briggsae
III	1150001	1315	briggsae
III	1160001	1212	briggsae
III	1170001	1498	briggsae
III	1180001	821	briggsae
III	1190001	1328	briggsae
III	1200001	1971	briggsae
III	1210001	3348	briggsae
III	1220001	5076	briggsae
III	1230001	3851	briggsae
III	1240001	3273	briggsae
III	1250001	3476	briggsae
III	1260001	4015	briggsae
III	1270001	3972	briggsae
III	1280001	2329	briggsae
III	1290001	4064	briggsae
III	1300001	4202	briggsae
III	1310001	2744	briggsae
III	1320001	3703	briggsae
III	1330001	3812	briggsae
III	1340001	2539	briggsae
III	1350001	1386	briggsae
III	1360001	4494	briggsae
III	1370001	3779	briggsae
III	1380001	4190	briggsae
III	1390001	5394	briggsae
III	1400001	4591	briggsae
III	1410001	4449	briggsae
III	1420001	3633	briggsae
III	1430001	4534	briggsae
III	1440001	4070	briggsae
III	1450001	3733	briggsae
III	1460001	4201	briggsae
III	1470001	3396	briggsae
III	1480001	3503	briggsae
III	1490001	3737	briggsae
III	1500001	2706	briggsae
III	1510001	1083	briggsae
III	1520001	2996	briggsae
III	1530001	3477	briggsae
III	1540001	2521	briggsae
III	1550001	2788	briggsae
III	1560001	3334	briggsae
III	1570001	2807	briggsae
III	1580001	2069	briggsae
III	1590001	4399	briggsae
III	1600001	1711	briggsae
III	1610001	5272	briggsae
III	1620001	3418	briggsae
III	1630001	2268	briggsae
III	1640001	2129	briggsae
III	1650001	3332	briggsae
III	1660001	3952	briggsae
III	1670001	415	briggsae
III	1680001	3522	briggsae
III	1690001	3655	briggsae
III	1700001	3474	briggsae
III	1710001	3119	briggsae
III	1720001	3574	briggsae
III	1730001	3570	briggsae
III	1740001	3150	briggsae
III	1750001	1473	briggsae
III	1760001	3249	briggsae
III	1770001	3912	briggsae
III	1780001	439	briggsae
III	1790001	1942	briggsae
III	1800001	3916	briggsae
III	1810001	5219	briggsae
III	1820001	2393	briggsae
III	1830001	728	briggsae
III	1840001	2286	briggsae
III	1850001	2808	briggsae
III	1860001	4801	briggsae
III	1870001	5471	briggsae
III	1880001	6546	briggsae
III	1890001	3498	briggsae
III	1900001	2732	briggsae
III	1910001	3760	briggsae
III	1920001	1930	briggsae
III	1930001	3100	briggsae
III	1940001	4271	briggsae
III	1950001	4348	briggsae
III	1960001	3691	briggsae
III	1970001	5818	briggsae
III	1980001	3483	briggsae
III	1990001	2873	briggsae
III	2000001	4956	briggsae
III	2010001	4696	briggsae
III	2020001	4137	briggsae
III	2030001	4866	briggsae
III	2040001	4696	briggsae
III	2050001	2847	briggsae
III	2060001	4206	briggsae
III	2070001	2638	briggsae
III	2080001	1278	briggsae
III	2090001	2173	briggsae
III	2100001	1526	briggsae
III	2110001	2048	briggsae
III	2120001	2222	briggsae
III	2130001	3002	briggsae
III	2140001	3601	briggsae
III	2150001	4530	briggsae
III	2160001	3207	briggsae
III	2170001	3798	briggsae
III	2180001	3141	briggsae
III	2190001	3765	briggsae
III	2200001	3858	briggsae
III	2210001	4178	briggsae
III	2220001	3253	briggsae
III	2230001	2925	briggsae
III	2240001	3200	briggsae
III	2250001	2928	briggsae
III	2260001	4018	briggsae
III	2270001	2684	briggsae
III	2280001	2051	briggsae
III	2290001	5037	briggsae
III	2300001	3880	briggsae
III	2310001	3838	briggsae
III	2320001	4783	briggsae
III	2330001	1976	briggsae
III	2340001	2659	briggsae
III	2350001	3130	briggsae
III	2360001	3185	briggsae
III	2370001	1801	briggsae
III	2380001	6097	briggsae
III	2390001	4026	briggsae
III	2400001	2695	briggsae
III	2410001	3071	briggsae
III	2420001	2764	briggsae
III	2430001	2893	briggsae
III	2440001	3786	briggsae
III	2450001	3325	briggsae
III	2460001	1953	briggsae
III	2470001	4772	briggsae
III	2480001	4027	briggsae
III	2490001	3154	briggsae
III	2500001	3500	briggsae
III	2510001	2154	briggsae
III	2520001	1806	briggsae
III	2530001	3202	briggsae
III	2540001	3951	briggsae
III	2550001	4518	briggsae
III	2560001	4544	briggsae
III	2570001	6505	briggsae
III	2580001	2373	briggsae
III	2590001	3152	briggsae
III	2600001	903	briggsae
III	2610001	2356	briggsae
III	2620001	2772	briggsae
III	2630001	4458	briggsae
III	2640001	4384	briggsae
III	2650001	2879	briggsae
III	2660001	3247	briggsae
III	2670001	4968	briggsae
III	2680001	3766	briggsae
III	2690001	4481	briggsae
III	2700001	3958	briggsae
III	2710001	6081	briggsae
III	2720001	3998	briggsae
III	2730001	2164	briggsae
III	2740001	4526	briggsae
III	2750001	2146	briggsae
III	2760001	5752	briggsae
III	2770001	4917	briggsae
III	2780001	3404	briggsae
III	2790001	2951	briggsae
III	2800001	4686	briggsae
III	2810001	4782	briggsae
III	2820001	5448	briggsae
III	2830001	5390	briggsae
III	2840001	3844	briggsae
III	2850001	3684	briggsae
III	2860001	4603	briggsae
III	2870001	4540	briggsae
III	2880001	3363	briggsae
III	2890001	4056	briggsae
III	2900001	2537	briggsae
III	2910001	5835	briggsae
III	2920001	3854	briggsae
III	2930001	4058	briggsae
III	2940001	5458	briggsae
III	2950001	2158	briggsae
III	2960001	2936	briggsae
III	2970001	3818	briggsae
III	2980001	4121	briggsae
III	2990001	3992	briggsae
III	3000001	5867	briggsae
III	3010001	4038	briggsae
III	3020001	3265	briggsae
III	3030001	3632	briggsae
III	3040001	5649	briggsae
III	3050001	2389	briggsae
III	3060001	3940	briggsae
III	3070001	3683	briggsae
III	3080001	4342	briggsae
III	3090001	2833	briggsae
III	3100001	4404	briggsae
III	3110001	4996	briggsae
III	3120001	4036	briggsae
III	3130001	4043	briggsae
III	3140001	4607	briggsae
III	3150001	6090	briggsae
III	3160001	2450	briggsae
III	3170001	4332	briggsae
III	3180001	3414	briggsae
III	3190001	3825	briggsae
III	3200001	4002	briggsae
III	3210001	3685	briggsae
III	3220001	4076	briggsae
III	3230001	6402	briggsae
III	3240001	186	briggsae
III	3250001	5347	briggsae
III	3260001	3402	briggsae
III	3270001	6190	briggsae
III	3280001	4272	briggsae
III	3290001	5704	briggsae
III	3300001	3570	briggsae
III	3310001	4409	briggsae
III	3320001	3952	briggsae
III	3330001	4372	briggsae
III	3340001	3817	briggsae
III	3350001	4692	briggsae
III	3360001	3015	briggsae
III	3370001	3262	briggsae
III	3380001	2790	briggsae
III	3390001	6084	briggsae
III	3400001	4901	briggsae
III	3410001	5311	briggsae
III	3420001	3228	briggsae
III	3430001	5564	briggsae
III	3440001	6276	briggsae
III	3450001	5184	briggsae
III	3460001	6013	briggsae
III	3470001	5150	briggsae
III	3480001	2718	briggsae
III	3490001	3584	briggsae
III	3500001	2803	briggsae
III	3510001	4022	briggsae
III	3520001	2665	briggsae
III	3530001	4723	briggsae
III	3540001	7269	briggsae
III	3550001	8507	briggsae
III	3560001	3314	briggsae
III	3570001	4534	briggsae
III	3580001	2974	briggsae
III	3590001	5208	briggsae
III	3600001	2932	briggsae
III	3610001	3500	briggsae
III	3620001	3579	briggsae
III	3630001	5075	briggsae
III	3640001	5000	briggsae
III	3650001	3616	briggsae
III	3660001	3508	briggsae
III	3670001	5585	briggsae
III	3680001	2908	briggsae
III	3690001	4922	briggsae
III	3700001	3644	briggsae
III	3710001	1688	briggsae
III	3720001	1311	briggsae
III	3730001	3874	briggsae
III	3740001	1612	briggsae
III	3750001	1262	briggsae
III	3760001	1439	briggsae
III	3770001	398	briggsae
III	3780001	2165	briggsae
III	3790001	1623	briggsae
