CHR	pos	chr	genetic
I	388131	1	388131
I	408301	1	388131.259639863
I	447250	1	388131.259639913
I	481373	1	388131.547656103
I	482889	1	388131.547656153
I	486146	1	388131.61459698
I	693196	1	388131.61459703
I	745089	1	388131.61459708
I	772143	1	388131.61459713
I	773114	1	388131.61459718
I	781065	1	388131.61459723
I	787132	1	388131.692715634
I	812059	1	388131.997441999
I	812985	1	388132.297912366
I	835209	1	388132.601487153
I	835937	1	388132.601487203
I	873186	1	388132.601487253
I	879703	1	388132.601487303
I	886279	1	388132.601487353
I	886858	1	388132.601487403
I	908637	1	388132.601487453
I	928558	1	388132.601487503
I	996489	1	388133.114312784
I	998174	1	388133.114312834
I	1013640	1	388133.114312884
I	1041451	1	388133.627138165
I	1048848	1	388133.627138215
I	1177473	1	388133.627138265
I	1186475	1	388133.627138315
I	1214736	1	388133.627138365
I	1238709	1	388134.671681092
I	1257493	1	388135.18188703
I	1284278	1	388135.694765311
I	1390228	1	388136.207643449
I	1405102	1	388136.720521586
I	1449934	1	388137.233413145
I	1468970	1	388137.74625144
I	1471035	1	388137.74625149
I	1487556	1	388137.74625154
I	1601168	1	388138.259103256
I	1639252	1	388138.771954971
I	1652424	1	388138.771955021
I	1660262	1	388138.771955071
I	1696507	1	388139.284793366
I	1700507	1	388139.79768507
I	1763070	1	388140.307863308
I	1774127	1	388141.355302894
I	1811194	1	388141.865481133
I	1817916	1	388142.378359357
I	1830371	1	388142.892312909
I	1855809	1	388143.193859684
I	1874721	1	388143.708222414
I	1878880	1	388144.010218578
I	1884842	1	388144.010218628
I	1888072	1	388144.522482317
I	1889555	1	388145.034701791
I	1893224	1	388145.034701841
I	1900888	1	388145.034701891
I	1904303	1	388145.034701941
I	1942356	1	388145.034701991
I	1965365	1	388146.079244858
I	1983747	1	388146.589450795
I	2009211	1	388147.102329091
I	2011911	1	388147.615217477
I	2023573	1	388148.128055788
I	2045556	1	388148.128055838
I	2047527	1	388148.128055888
I	2051903	1	388148.640891026
I	2062822	1	388149.153782542
I	2074239	1	388149.667781878
I	2074240	1	388149.962938075
I	2091875	1	388149.962938125
I	2103993	1	388150.259197091
I	2116732	1	388150.259197141
I	2128535	1	388150.259197191
I	2169385	1	388150.259197241
I	2220902	1	388150.259197291
I	2271718	1	388150.773094565
I	2272201	1	388151.078885971
I	2277239	1	388151.38298033
I	2283663	1	388151.690878949
I	2286052	1	388151.784931654
I	2307100	1	388151.784931704
I	2308137	1	388152.087191112
I	2310806	1	388152.087191162
I	2316769	1	388152.087191212
I	2318515	1	388152.598003891
I	2320752	1	388153.110862771
I	2324912	1	388153.110862821
I	2342001	1	388153.110862871
I	2398443	1	388153.623684863
I	2423685	1	388153.623684913
I	2438212	1	388153.623684963
I	2446955	1	388153.623685013
I	2452499	1	388153.623685063
I	2457174	1	388154.136510137
I	2469932	1	388154.136510187
I	2474236	1	388154.136510237
I	2478539	1	388154.136510287
I	2484669	1	388154.136510337
I	2488858	1	388154.136510387
I	2500158	1	388154.136510437
I	2508161	1	388154.136510487
I	2527395	1	388154.136510537
I	2543431	1	388154.648760424
I	2543511	1	388154.648760474
I	2545331	1	388155.161613694
I	2560333	1	388155.613974074
I	2563188	1	388155.917050274
I	2565883	1	388156.840110952
I	2567710	1	388157.143180739
I	2589698	1	388157.596179364
I	2590124	1	388158.108355736
I	2597658	1	388158.108355786
I	2603141	1	388158.108355836
I	2621188	1	388158.620578679
I	2626903	1	388159.132784718
I	2629777	1	388159.132784768
I	2649378	1	388159.132784818
I	2658882	1	388159.132784868
I	2663361	1	388159.132784918
I	2672199	1	388159.644990582
I	2680669	1	388160.158961171
I	2681318	1	388160.460425733
I	2689417	1	388160.975418474
I	2704727	1	388161.277932726
I	2714521	1	388161.277932776
I	2718921	1	388161.277932826
I	2720071	1	388161.277932876
I	2724843	1	388161.277932926
I	2728135	1	388161.578602681
I	2731816	1	388161.884959893
I	2745889	1	388161.978904247
I	2770018	1	388161.978904297
I	2774518	1	388162.284485041
I	2930880	1	388162.589769118
I	2937883	1	388163.103669096
I	2948286	1	388163.103669146
I	2988446	1	388163.103669196
I	2989079	1	388163.616534116
I	3031856	1	388164.129385487
I	3042797	1	388164.129385537
I	3080525	1	388164.129385587
I	3083789	1	388164.129385637
I	3114767	1	388164.129385687
I	3159931	1	388164.643314723
I	3161799	1	388164.941788334
I	3175316	1	388165.458338599
I	3256573	1	388165.458341587
I	3273287	1	388165.458341637
I	3276736	1	388165.458341687
I	3304928	1	388165.458341737
I	3359892	1	388165.540994777
I	3387982	1	388166.057151756
I	3397935	1	388166.35296067
I	3418161	1	388166.35296072
I	4518191	1	388166.35296077
I	4524715	1	388166.35296082
I	4547853	1	388166.35296087
I	4741249	1	388166.865785945
I	5168257	1	388166.865785995
I	5170292	1	388166.865786045
I	6084936	1	388166.865786095
I	6086489	1	388166.865786145
I	6087501	1	388166.865786195
I	6088595	1	388166.865786245
I	6460220	1	388166.865786295
I	6460919	1	388166.865786345
I	7475965	1	388166.865786395
I	8161229	1	388167.378611514
I	8596895	1	388167.378611564
I	10367501	1	388167.892241555
I	10441368	1	388167.892241605
I	10734365	1	388169.480592176
I	10740549	1	388169.480592226
I	10793419	1	388169.480592276
I	10799818	1	388169.480592326
I	10885969	1	388169.480592376
