CHR	POS	CM	Type	MB	chr
I	23927	0	Maternal	0.023927	I
I	30430	0.8	Maternal	0.03043	I
I	30482	0.8	Maternal	0.030482	I
I	44180	0.8	Maternal	0.04418	I
I	44228	1.242	Maternal	0.044228	I
I	44264	1.242	Maternal	0.044264	I
I	44270	1.242	Maternal	0.04427	I
I	44293	1.242	Maternal	0.044293	I
I	44306	1.242	Maternal	0.044306	I
I	46948	1.536	Maternal	0.046948	I
I	46975	1.536	Maternal	0.046975	I
I	47152	1.536	Maternal	0.047152	I
I	47167	1.536	Maternal	0.047167	I
I	47175	1.536	Maternal	0.047175	I
I	47587	1.536	Maternal	0.047587	I
I	47674	1.536	Maternal	0.047674	I
I	47683	1.536	Maternal	0.047683	I
I	47695	1.536	Maternal	0.047695	I
I	47718	1.536	Maternal	0.047718	I
I	47719	1.536	Maternal	0.047719	I
I	87986	1.683	Maternal	0.087986	I
I	88073	1.683	Maternal	0.088073	I
I	125946	1.683	Maternal	0.125946	I
I	125953	1.683	Maternal	0.125953	I
I	125965	1.683	Maternal	0.125965	I
I	125975	1.683	Maternal	0.125975	I
I	125984	1.683	Maternal	0.125984	I
I	125992	1.683	Maternal	0.125992	I
I	131076	1.683	Maternal	0.131076	I
I	138959	1.683	Maternal	0.138959	I
I	138963	1.683	Maternal	0.138963	I
I	150719	1.977	Maternal	0.150719	I
I	150884	1.977	Maternal	0.150884	I
I	212033	1.977	Maternal	0.212033	I
I	212053	1.977	Maternal	0.212053	I
I	212062	2.124	Maternal	0.212062	I
I	230871	2.124	Maternal	0.230871	I
I	230874	2.124	Maternal	0.230874	I
I	232099	2.418	Maternal	0.232099	I
I	300304	2.418	Maternal	0.300304	I
I	300373	2.418	Maternal	0.300373	I
I	300412	2.418	Maternal	0.300412	I
I	303947	2.418	Maternal	0.303947	I
I	304020	2.418	Maternal	0.30402	I
I	328135	2.418	Maternal	0.328135	I
I	328144	2.418	Maternal	0.328144	I
I	328168	2.565	Maternal	0.328168	I
I	328198	2.565	Maternal	0.328198	I
I	330910	2.565	Maternal	0.33091	I
I	330931	2.565	Maternal	0.330931	I
